id;name;artist_id;year;type

1; Zu Schön, Um Wahr Zu Sein; 1; 1983; EP
2; Uns Geht's Prima; 1; 1984; EP
3; Debil; 1; 1984; Album
4; Paul; 1; 1984; Single
5; Zu Spät; 1; 1985; Single
6; Offizieller Soundtrack zum Film 'Richy Guitar'; 1; 1985; EP
7; Im Schatten der Ärzte; 1; 1985; Album
8; Wegen Dir; 1; 1985; Single
9; Du Willst Mich Küssen; 1; 1985; Single
10; Die Ärzte; 1; 1986; Album
11; Für Immer; 1; 1986; Single
12; Ist Das Alles?; 1; 1986; Single
13; Gehn Wie Ein Ägypter; 1; 1987; Single
14; 2000 Mädchen; 1; 1987; Single
15; Ist das Alles? - 13 Höhepunkte Mit Den Ärzten; 1; 1987; Compilation
